"row_id","heart_disease_mortality_per_100k","metro_ruccs","population_ruccs","urban_influence","economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","yr","demo__pct_nonwhite","pure_population","metro_adjacency"
1264,294,"Metro","Metro 250k - 1 million","2","Manufacturing-dependent",0.478,0.056,0.247,0.081,0.518,0.239,0.164,0.174041298,0.369714848,0.295968535,0.16027532,11,9,0.327,0.201,0.14,0.099,0.368,13,24.83,1440,1660,"b",0.158,"250,000 - 1,000,000","metro"
4038,319,"Metro","Metro <250k","2","Mining-dependent",0.489,0.052,0.26,0.134,0.493,0.22,0.196,0.113636364,0.393280632,0.333992095,0.159090909,7,12,0.285,NA,0.119,0.068,0.33,10,27.49,NA,2680,"b",0.064,"< 250,000","metro"
757,250,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","10","Recreation",0.404,0.089,0.341,0.154,0.511,0.206,0.231,0.136820926,0.346076459,0.264587525,0.252515091,9,13,0.286,NA,0.137,0.096,0.244,13,18.47,2779,2320,"b",0.109,"2,500 - <20,000","nonadjacent"
1593,192,"Nonmetro","Rural metro non-adjacent","10","Federal/State government-dependent",0.495,0.109,0.264,0.129,0.495,0.194,0.212,0.163654618,0.356425703,0.345381526,0.134538153,8,10,0.231,0.172,0.097,0.105,0.251,10,NA,4709,NA,"b",0.843,"< 2,500","nonadjacent"
2377,281,"Nonmetro","Rural metro-adjacent","5","Nonspecialized",0.357,0.108,0.196,0.077,0.508,0.331,0.132,0.099497487,0.435175879,0.305527638,0.159798995,23,10,0.393,0.454,0.128,0.078,0.308,11,NA,859,1439,"a",0.921,"< 2,500","adjacent"
78,294,"Nonmetro","Urban 2,500-19,999 metro-adjacent","7","Federal/State government-dependent",0.342,0.064,0.242,0.097,0.466,0.195,0.214,0.222664016,0.402584493,0.294234592,0.080516899,9,13,0.355,0.306,0.155,0.08,0.337,12,47.4,3979,5369,"a",0.121,"2,500 - <20,000","adjacent"
2349,292,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Nonspecialized",0.51,0.034,0.143,0.044,0.52,0.227,0.209,0.117,0.376,0.353,0.154,12,15,0.331,0.239,0.1,0.075,0.271,9,22.77,2080,1760,"a",0.061,"2,500 - <20,000","adjacent"
5424,238,"Nonmetro","Rural metro non-adjacent","12","Nonspecialized",0.437,0.187,0.457,0.185,0.453,0.284,0.136,0.167502508,0.403209629,0.30892678,0.120361083,16,11,0.268,0.404,0.078,0.038,0.256,NA,NA,2839,1920,"a",0.74,"< 2,500","nonadjacent"
2074,192,"Metro","Metro 250k - 1 million","2","Recreation",0.497,0.054,0.154,0.093,0.492,0.181,0.168,0.069277108,0.25,0.359437751,0.321285141,8,8,0.167,0.232,0.073,0.132,0.157,13,10.2,2110,1550,"a",0.091,"250,000 - 1,000,000","metro"
2956,273,"Nonmetro","Rural metro non-adjacent","10","Farm-dependent",0.495,0.021,0.113,0.073,0.501,0.2,0.209,0.121485944,0.31124498,0.38253012,0.184738956,10,11,0.281,0.196,0.106,NA,0.326,10,NA,1679,1129,"a",0.035,"< 2,500","nonadjacent"
3689,365,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.359,0.085,0.339,0.119,0.501,0.27,0.127,0.204545455,0.42687747,0.233201581,0.135375494,14,11,0.358,0.301,0.149,0.094,0.323,11,27.29,5589,2259,"b",0.515,"2,500 - <20,000","adjacent"
3034,238,"Metro","Metro 250k - 1 million","2","Federal/State government-dependent",0.533,0.044,0.159,0.046,0.508,0.216,0.137,0.127272727,0.255555556,0.223232323,0.393939394,11,8,0.239,0.138,0.102,0.094,0.226,11,7.43,1320,960,"a",0.458,"250,000 - 1,000,000","metro"
1107,335,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Recreation",0.386,0.091,0.209,0.05,0.5,0.207,0.212,0.156565657,0.388888889,0.334343434,0.12020202,10,12,0.296,0.263,0.121,0.079,0.29,12,19.52,3889,2380,"b",0.018,"2,500 - <20,000","adjacent"
5167,284,"Metro","Metro > 1 million","1","Nonspecialized",0.529,0.062,0.135,0.04,0.508,0.249,0.108,0.094650206,0.323045267,0.332304527,0.25,12,8,0.315,0.21,0.074,0.077,0.229,12,11.5,1759,2200,"b",0.204,"> 1,000,000","metro"
4126,193,"Metro","Metro > 1 million","1","Nonspecialized",0.559,0.041,0.075,0.029,0.502,0.239,0.155,0.049850449,0.240279163,0.298105683,0.411764706,10,8,0.247,0.162,0.069,0.057,0.178,12,6.63,1209,730,"b",0.072,"> 1,000,000","metro"
4972,312,"Metro","Metro > 1 million","1","Nonspecialized",0.444,0.081,0.175,0.07,0.512,0.247,0.14,0.168,0.435,0.283,0.114,12,10,0.368,0.248,0.109,0.088,0.325,13,22.44,4029,4030,"b",0.021,"> 1,000,000","metro"
641,283,"Nonmetro","Urban 2,500-19,999 metro-adjacent","5","Nonspecialized",0.437,0.051,0.185,0.061,0.479,0.238,0.163,0.12039801,0.3960199,0.348258706,0.135323383,12,10,0.344,0.146,0.103,0.07,0.253,13,15.65,1979,2299,"a",0.083,"2,500 - <20,000","adjacent"
4466,209,"Metro","Metro > 1 million","1","Nonspecialized",0.518,0.043,0.115,0.036,0.506,0.238,0.14,0.052419355,0.221774194,0.201612903,0.524193548,10,7,0.216,0.087,0.081,0.082,0.214,11,3.67,1100,929,"a",0.395,"> 1,000,000","metro"
2515,221,"Nonmetro","Rural metro non-adjacent","12","Farm-dependent",0.46,0.033,0.18,0.104,0.501,0.199,0.327,0.203815261,0.319277108,0.289156627,0.187751004,9,19,0.3,0.184,0.094,NA,0.375,9,NA,2840,1380,"b",0.039,"< 2,500","nonadjacent"
5120,392,"Nonmetro","Rural metro-adjacent","7","Manufacturing-dependent",0.378,0.075,0.237,0.087,0.51,0.228,0.153,0.206030151,0.351758794,0.318592965,0.12361809,12,9,0.386,0.297,0.17,0.121,0.323,12,47.59,6250,2510,"a",0.343,"< 2,500","adjacent"
3986,278,"Metro","Metro 250k - 1 million","2","Recreation",0.503,0.06,0.141,0.059,0.498,0.195,0.198,0.117412935,0.455721393,0.272636816,0.154228856,9,12,0.354,0.299,0.108,0.076,0.279,12,16.56,2489,2159,"a",0.05,"250,000 - 1,000,000","metro"
4881,366,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","9","Manufacturing-dependent",0.371,0.091,0.297,0.102,0.499,0.251,0.16,0.23752495,0.398203593,0.263473054,0.100798403,14,12,0.322,NA,0.107,0.106,0.285,13,25.73,11430,2079,"a",0.394,"2,500 - <20,000","nonadjacent"
3388,295,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","9","Manufacturing-dependent",0.363,0.072,0.178,0.059,0.5,0.234,0.154,0.216733871,0.420362903,0.241935484,0.120967742,13,12,0.32,0.256,0.15,0.098,0.31,13,21.44,2360,3560,"a",0.044,"2,500 - <20,000","nonadjacent"
3264,239,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.468,0.036,0.181,0.056,0.514,0.207,0.18,0.125,0.348632813,0.297851563,0.228515625,10,10,0.336,0.204,0.114,0.076,0.327,13,12.82,1949,1590,"a",0.084,"250,000 - 1,000,000","metro"
4919,224,"Metro","Metro > 1 million","1","Nonspecialized",0.483,0.046,0.163,0.045,0.519,0.228,0.147,0.128514056,0.203815261,0.196787149,0.470883534,11,7,0.169,0.123,0.078,0.081,0.195,11,5.18,1010,710,"b",0.418,"> 1,000,000","metro"
128,306,"Nonmetro","Rural metro non-adjacent","10","Farm-dependent",0.559,0.039,0.215,0.106,0.514,0.23,0.231,0.085968379,0.373517787,0.348814229,0.191699605,12,16,0.283,0.128,0.091,0.053,0.33,12,37.87,1459,2140,"b",0.123,"< 2,500","nonadjacent"
2898,334,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Mining-dependent",0.439,0.054,0.333,0.151,0.509,0.222,0.207,0.168297456,0.362035225,0.326810176,0.142857143,12,15,0.32,0.138,0.118,0.071,0.311,10,32.12,3640,3679,"a",0.192,"2,500 - <20,000","adjacent"
4504,209,"Nonmetro","Urban >20,000 metro non-adjacent","8","Federal/State government-dependent",0.528,0.039,0.197,0.086,0.502,0.222,0.155,0.049147442,0.235707121,0.332998997,0.382146439,12,9,0.232,0.179,0.062,0.076,0.177,11,15.93,1250,1129,"a",0.063,">20,000","nonadjacent"
4260,286,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.541,0.041,0.182,0.079,0.501,0.24,0.155,0.141716567,0.439121756,0.261477046,0.157684631,11,10,0.304,0.155,0.113,0.09,0.268,12,13.32,2719,2710,"a",0.039,"2,500 - <20,000","adjacent"
6190,255,"Metro","Metro <250k","2","Federal/State government-dependent",0.501,0.061,0.197,0.073,0.532,0.221,0.103,0.12020202,0.251515152,0.335353535,0.292929293,12,7,0.357,0.19,0.083,0.114,0.241,12,16.93,1860,1010,"b",0.414,"< 250,000","metro"
5335,340,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.469,0.032,0.35,0.135,0.485,0.269,0.108,0.234994914,0.274669379,0.339776195,0.150559512,16,10,0.337,0.227,0.095,0.103,0.303,10,19,2059,1240,"a",0.528,"250,000 - 1,000,000","metro"
2664,171,"Nonmetro","Rural metro non-adjacent","10","Farm-dependent",0.616,0.041,0.267,0.158,0.456,0.183,0.2,0.116016427,0.430184805,0.27412731,0.179671458,7,4,0.221,NA,0.063,0.238,0.175,14,NA,NA,1340,"a",0.146,"< 2,500","nonadjacent"
1448,267,"Nonmetro","Urban 2,500-19,999 metro-adjacent","7","Recreation",0.473,0.073,0.229,0.066,0.497,0.242,0.183,0.150887574,0.34418146,0.340236686,0.16469428,12,10,0.343,0.217,0.125,0.085,0.222,12,16.55,3740,2020,"a",0.173,"2,500 - <20,000","adjacent"
417,259,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.487,0.059,0.212,0.095,0.497,0.2,0.198,0.168686869,0.324242424,0.309090909,0.197979798,9,11,0.288,0.214,0.12,0.073,0.257,13,20.45,5260,2250,"b",0.121,"250,000 - 1,000,000","metro"
582,365,"Metro","Metro 250k - 1 million","2","Manufacturing-dependent",0.408,0.083,0.226,0.075,0.515,0.227,0.186,0.217085427,0.382914573,0.275376884,0.124623116,11,14,0.355,0.263,0.146,0.126,0.349,13,21.05,7180,1789,"b",0.327,"250,000 - 1,000,000","metro"
1903,303,"Nonmetro","Rural metro non-adjacent","12","Mining-dependent",0.568,0.03,0.181,0.09,0.498,0.229,0.202,0.094025465,0.36043095,0.348677767,0.196865818,14,12,0.342,0.217,0.124,0.069,0.343,11,52.17,NA,1219,"b",0.035,"< 2,500","nonadjacent"
3189,306,"Nonmetro","Rural metro non-adjacent","9","Nonspecialized",0.372,0.086,0.238,0.096,0.475,0.226,0.183,0.176762661,0.435948361,0.256206554,0.131082423,12,12,0.333,0.305,0.098,0.067,0.362,10,35.94,6910,2160,"b",0.06,"< 2,500","nonadjacent"
4050,466,"Nonmetro","Urban >20,000 metro non-adjacent","8","Nonspecialized",0.343,0.124,0.301,0.068,0.514,0.282,0.125,0.241985522,0.34229576,0.244053775,0.171664943,14,12,0.406,0.227,0.154,0.144,0.371,12,26,3230,1770,"b",0.755,">20,000","nonadjacent"
2475,337,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.397,0.096,0.221,0.071,0.524,0.249,0.144,0.210313448,0.374115268,0.295247725,0.120323559,14,12,0.377,0.209,0.133,0.123,0.319,13,39.71,5619,2790,"b",0.475,"2,500 - <20,000","adjacent"
5628,248,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Recreation",0.491,0.081,0.139,0.05,0.489,0.204,0.217,0.112983152,0.420218038,0.312190287,0.154608523,10,12,0.292,0.223,0.092,0.071,0.26,11,21.49,1990,1159,"b",0.041,"2,500 - <20,000","adjacent"
1771,330,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","9","Mining-dependent",0.492,0.045,0.253,0.123,0.509,0.254,0.172,0.132093933,0.401174168,0.272015656,0.194716243,14,11,0.331,0.256,0.107,0.074,0.335,10,23.91,5909,3849,"b",0.15,"2,500 - <20,000","nonadjacent"
2774,339,"Nonmetro","Urban 2,500-19,999 metro-adjacent","3","Manufacturing-dependent",0.466,0.069,0.239,0.07,0.502,0.227,0.15,0.179358717,0.418837675,0.26753507,0.134268537,11,10,0.298,0.249,0.107,0.089,0.34,14,27.26,3469,4410,"b",0.135,"2,500 - <20,000","adjacent"
1992,279,"Metro","Metro > 1 million","1","Federal/State government-dependent",0.468,0.067,0.289,0.073,0.523,0.212,0.109,0.153144016,0.231237323,0.26673428,0.348884381,13,8,0.319,0.2,0.111,0.134,0.287,12,11.84,1729,1119,"b",0.694,"> 1,000,000","metro"
3977,227,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","11","Farm-dependent",0.57,0.027,0.264,0.149,0.493,0.23,0.21,0.073558648,0.371769384,0.358846918,0.19582505,11,8,0.284,0.178,0.102,0.049,0.297,11,24.13,3810,1250,"a",0.133,"2,500 - <20,000","nonadjacent"
1521,226,"Nonmetro","Urban >20,000 metro-adjacent","5","Federal/State government-dependent",0.478,0.055,0.182,0.072,0.486,0.147,0.093,0.046719682,0.174950298,0.294234592,0.484095427,9,6,0.275,0.111,0.084,0.064,0.215,11,8.56,3809,1359,"b",0.137,">20,000","adjacent"
2890,296,"Nonmetro","Rural metro non-adjacent","8","Farm-dependent",0.426,0.056,0.288,0.078,0.497,0.209,0.22,0.176470588,0.427716849,0.24227318,0.153539382,9,12,0.356,0.391,0.124,0.088,0.368,11,24.45,NA,4129,"b",0.029,"< 2,500","nonadjacent"
4729,322,"Metro","Metro > 1 million","1","Nonspecialized",0.436,0.083,0.156,0.06,0.504,0.197,0.183,0.125,0.49702381,0.228174603,0.149801587,11,13,0.354,0.246,0.135,0.097,0.345,14,20.73,1840,2060,"b",0.049,"> 1,000,000","metro"
492,229,"Nonmetro","Rural metro-adjacent","6","Federal/State government-dependent",0.35,0.069,0.197,0.085,0.447,0.119,0.288,0.213,0.298,0.307,0.182,8,14,0.317,0.17,0.144,0.129,0.3,13,21.54,9939,3309,"a",0.519,"< 2,500","adjacent"
5385,238,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.549,0.041,0.113,0.033,0.499,0.263,0.108,0.086395233,0.250248262,0.304865938,0.358490566,15,7,0.276,0.177,0.068,0.069,0.217,10,7.87,1539,1010,"a",0.211,"250,000 - 1,000,000","metro"
2029,209,"Nonmetro","Rural metro non-adjacent","12","Farm-dependent",0.49,0.038,0.189,0.094,0.499,0.209,0.256,0.075301205,0.31124498,0.388554217,0.224899598,10,8,0.326,NA,0.112,NA,0.277,13,NA,1359,1349,"b",0.06,"< 2,500","nonadjacent"
5177,265,"Metro","Metro <250k","2","Nonspecialized",0.484,0.063,0.194,0.082,0.492,0.272,0.107,0.131790744,0.280684105,0.348088531,0.23943662,12,7,0.321,0.232,0.118,0.09,0.252,12,19.28,5810,1910,"a",0.263,"< 250,000","metro"
2084,392,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.452,0.053,0.323,0.081,0.51,0.265,0.169,0.218106996,0.335390947,0.29526749,0.151234568,14,12,0.358,0.205,0.138,0.091,0.331,11,31,4630,1979,"b",0.299,"2,500 - <20,000","adjacent"
1995,204,"Metro","Metro <250k","2","Mining-dependent",0.442,0.065,0.354,0.129,0.495,0.288,0.11,0.183026585,0.323108384,0.348670757,0.145194274,15,7,0.308,0.226,0.091,0.073,0.241,10,31.07,1429,1799,"b",0.582,"< 250,000","metro"
2867,238,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.488,0.037,0.175,0.063,0.507,0.201,0.188,0.122877123,0.308691309,0.303696304,0.264735265,8,10,0.279,0.198,0.112,0.077,0.272,13,14.46,5809,1510,"a",0.096,"250,000 - 1,000,000","metro"
5481,327,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.449,0.075,0.24,0.057,0.525,0.242,0.144,0.139112903,0.331653226,0.315524194,0.213709677,14,10,0.356,0.242,0.134,0.122,0.284,13,21.61,2069,1570,"a",0.408,"250,000 - 1,000,000","metro"
5313,237,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.561,0.039,0.127,0.044,0.51,0.25,0.117,0.085685484,0.254032258,0.3125,0.347782258,15,7,0.273,0.18,0.076,0.068,0.235,10,9.42,1560,980,"b",0.206,"250,000 - 1,000,000","metro"
2362,328,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.443,0.051,0.182,0.065,0.499,0.204,0.231,0.163326653,0.372745491,0.309619238,0.154308617,8,15,0.263,0.248,0.098,0.089,0.246,13,19.97,4039,1350,"a",0.065,"2,500 - <20,000","adjacent"
4793,326,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Nonspecialized",0.444,0.069,0.29,0.101,0.524,0.226,0.177,0.183,0.377,0.298,0.142,12,14,0.378,0.243,0.162,0.112,0.319,12,31.85,4190,1809,"a",0.436,"2,500 - <20,000","adjacent"
5899,367,"Metro","Metro <250k","2","Federal/State government-dependent",0.397,0.062,0.2,0.046,0.521,0.218,0.15,0.187747036,0.314229249,0.311264822,0.186758893,11,12,0.311,0.243,0.134,0.091,0.323,13,16.54,1910,1560,"a",0.252,"< 250,000","metro"
2615,186,"Nonmetro","Rural metro-adjacent","7","Recreation",0.444,0.037,0.202,0.159,0.489,0.303,0.164,0.036,0.378,0.396,0.19,14,18,0.283,NA,0.095,NA,0.205,11,NA,1129,NA,"b",0.054,"< 2,500","adjacent"
4334,246,"Nonmetro","Urban 2,500-19,999 metro-adjacent","5","Nonspecialized",0.429,0.059,0.241,0.108,0.493,0.275,0.108,0.145601618,0.270980789,0.418604651,0.164812942,19,7,0.293,0.166,0.093,0.071,0.22,9,18.4,1340,1460,"b",0.212,"2,500 - <20,000","adjacent"
2418,364,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.406,0.102,0.262,0.083,0.516,0.269,0.131,0.222551929,0.400593472,0.28090999,0.095944609,14,12,0.35,0.091,0.121,0.137,0.321,13,32.88,11690,2609,"b",0.527,"250,000 - 1,000,000","metro"
1938,236,"Metro","Metro <250k","2","Farm-dependent",0.538,0.038,0.148,0.086,0.499,0.254,0.163,0.048275862,0.393103448,0.328078818,0.230541872,10,6,0.314,0.173,0.107,0.047,0.228,9,22.4,NA,2339,"a",0.041,"< 250,000","metro"
4625,379,"Metro","Metro > 1 million","1","Nonspecialized",0.43,0.07,0.241,0.084,0.517,0.245,0.151,0.204545455,0.296442688,0.333003953,0.166007905,11,10,0.341,0.236,0.163,0.091,0.35,12,30.8,4050,3560,"a",0.336,"> 1,000,000","metro"
1179,363,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","9","Nonspecialized",0.417,0.051,0.368,0.162,0.504,0.314,0.104,0.172962227,0.380715706,0.313121272,0.133200795,23,14,0.364,0.276,0.151,0.068,0.315,10,38.84,1850,3640,"a",0.595,"2,500 - <20,000","nonadjacent"
4318,322,"Metro","Metro > 1 million","1","Manufacturing-dependent",0.484,0.042,0.296,0.163,0.505,0.237,0.177,0.14985015,0.301698302,0.338661339,0.20979021,13,9,0.273,0.18,0.097,0.068,0.265,9,24.49,4800,5719,"a",0.368,"> 1,000,000","metro"
720,253,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.474,0.051,0.321,0.155,0.486,0.34,0.13,0.364635365,0.328671329,0.202797203,0.103896104,20,7,0.335,0.187,0.11,0.053,0.247,13,19.21,4199,3390,"b",0.05,"2,500 - <20,000","adjacent"
1436,194,"Metro","Metro > 1 million","1","Nonspecialized",0.564,0.045,0.076,0.02,0.506,0.225,0.158,0.042,0.238,0.309,0.411,9,8,0.267,0.162,0.079,0.073,0.166,12,6.3,1180,709,"a",0.091,"> 1,000,000","metro"
843,280,"Metro","Metro <250k","2","Federal/State government-dependent",0.46,0.076,0.189,0.07,0.519,0.199,0.153,0.100917431,0.351681957,0.307849134,0.239551478,11,10,0.333,0.256,0.11,0.087,0.315,13,9.8,1970,1180,"b",0.104,"< 250,000","metro"
1405,330,"Nonmetro","Rural metro-adjacent","4","Nonspecialized",0.416,0.079,0.18,0.075,0.5,0.237,0.148,0.180638723,0.46506986,0.26746507,0.086826347,12,12,0.308,0.217,0.102,0.105,0.304,13,22.31,6650,13360,"b",0.015,"< 2,500","adjacent"
