"row_id","heart_disease_mortality_per_100k","metro_ruccs","population_ruccs","urban_influence","economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_excessive_drinking","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__homicides_per_100k","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","yr","demo__pct_nonwhite","pure_population","metro_adjacency"
5335,340,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.469,0.032,0.35,0.135,0.485,0.269,0.108,0.234994914,0.274669379,0.339776195,0.150559512,16,10,0.337,0.227,0.095,0.103,0.143,0.303,10,6.9,19,2059,1240,"a",0.528,"250,000 - 1,000,000","metro"
417,259,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.487,0.059,0.212,0.095,0.497,0.2,0.198,0.168686869,0.324242424,0.309090909,0.197979798,9,11,0.288,0.214,0.12,0.073,0.092,0.257,13,2.71,20.45,5260,2250,"b",0.121,"250,000 - 1,000,000","metro"
582,365,"Metro","Metro 250k - 1 million","2","Manufacturing-dependent",0.408,0.083,0.226,0.075,0.515,0.227,0.186,0.217085427,0.382914573,0.275376884,0.124623116,11,14,0.355,0.263,0.146,0.126,0.106,0.349,13,4.39,21.05,7180,1789,"b",0.327,"250,000 - 1,000,000","metro"
4050,466,"Nonmetro","Urban >20,000 metro non-adjacent","8","Nonspecialized",0.343,0.124,0.301,0.068,0.514,0.282,0.125,0.241985522,0.34229576,0.244053775,0.171664943,14,12,0.406,0.227,0.154,0.144,0.142,0.371,12,17.9,26,3230,1770,"b",0.755,">20,000","nonadjacent"
2475,337,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.397,0.096,0.221,0.071,0.524,0.249,0.144,0.210313448,0.374115268,0.295247725,0.120323559,14,12,0.377,0.209,0.133,0.123,0.09,0.319,13,6.26,39.71,5619,2790,"b",0.475,"2,500 - <20,000","adjacent"
1992,279,"Metro","Metro > 1 million","1","Federal/State government-dependent",0.468,0.067,0.289,0.073,0.523,0.212,0.109,0.153144016,0.231237323,0.26673428,0.348884381,13,8,0.319,0.2,0.111,0.134,0.207,0.287,12,50.49,11.84,1729,1119,"b",0.694,"> 1,000,000","metro"
4729,322,"Metro","Metro > 1 million","1","Nonspecialized",0.436,0.083,0.156,0.06,0.504,0.197,0.183,0.125,0.49702381,0.228174603,0.149801587,11,13,0.354,0.246,0.135,0.097,0.172,0.345,14,3.37,20.73,1840,2060,"b",0.049,"> 1,000,000","metro"
5385,238,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.549,0.041,0.113,0.033,0.499,0.263,0.108,0.086395233,0.250248262,0.304865938,0.358490566,15,7,0.276,0.177,0.068,0.069,0.194,0.217,10,2.4,7.87,1539,1010,"a",0.211,"250,000 - 1,000,000","metro"
1995,204,"Metro","Metro <250k","2","Mining-dependent",0.442,0.065,0.354,0.129,0.495,0.288,0.11,0.183026585,0.323108384,0.348670757,0.145194274,15,7,0.308,0.226,0.091,0.073,0.129,0.241,10,7.7,31.07,1429,1799,"b",0.582,"< 250,000","metro"
5481,327,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.449,0.075,0.24,0.057,0.525,0.242,0.144,0.139112903,0.331653226,0.315524194,0.213709677,14,10,0.356,0.242,0.134,0.122,0.146,0.284,13,14.2,21.61,2069,1570,"a",0.408,"250,000 - 1,000,000","metro"
5313,237,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.561,0.039,0.127,0.044,0.51,0.25,0.117,0.085685484,0.254032258,0.3125,0.347782258,15,7,0.273,0.18,0.076,0.068,0.19,0.235,10,1.74,9.42,1560,980,"b",0.206,"250,000 - 1,000,000","metro"
4793,326,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Nonspecialized",0.444,0.069,0.29,0.101,0.524,0.226,0.177,0.183,0.377,0.298,0.142,12,14,0.378,0.243,0.162,0.112,0.101,0.319,12,15.5,31.85,4190,1809,"a",0.436,"2,500 - <20,000","adjacent"
5899,367,"Metro","Metro <250k","2","Federal/State government-dependent",0.397,0.062,0.2,0.046,0.521,0.218,0.15,0.187747036,0.314229249,0.311264822,0.186758893,11,12,0.311,0.243,0.134,0.091,0.12,0.323,13,11,16.54,1910,1560,"a",0.252,"< 250,000","metro"
4625,379,"Metro","Metro > 1 million","1","Nonspecialized",0.43,0.07,0.241,0.084,0.517,0.245,0.151,0.204545455,0.296442688,0.333003953,0.166007905,11,10,0.341,0.236,0.163,0.091,0.145,0.35,12,7.9,30.8,4050,3560,"a",0.336,"> 1,000,000","metro"
1179,363,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","9","Nonspecialized",0.417,0.051,0.368,0.162,0.504,0.314,0.104,0.172962227,0.380715706,0.313121272,0.133200795,23,14,0.364,0.276,0.151,0.068,0.237,0.315,10,19.7,38.84,1850,3640,"a",0.595,"2,500 - <20,000","nonadjacent"
1436,194,"Metro","Metro > 1 million","1","Nonspecialized",0.564,0.045,0.076,0.02,0.506,0.225,0.158,0.042,0.238,0.309,0.411,9,8,0.267,0.162,0.079,0.073,0.244,0.166,12,0,6.3,1180,709,"a",0.091,"> 1,000,000","metro"
843,280,"Metro","Metro <250k","2","Federal/State government-dependent",0.46,0.076,0.189,0.07,0.519,0.199,0.153,0.100917431,0.351681957,0.307849134,0.239551478,11,10,0.333,0.256,0.11,0.087,0.119,0.315,13,3.16,9.8,1970,1180,"b",0.104,"< 250,000","metro"
4892,277,"Metro","Metro <250k","2","Federal/State government-dependent",0.458,0.056,0.201,0.043,0.512,0.204,0.179,0.11391129,0.373991935,0.266129032,0.245967742,11,13,0.308,0.235,0.135,0.106,0.098,0.299,13,6,16.02,1330,749,"a",0.094,"< 250,000","metro"
3959,222,"Metro","Metro <250k","2","Federal/State government-dependent",0.436,0.238,0.294,0.092,0.489,0.289,0.112,0.333001988,0.227634195,0.301192843,0.138170974,18,6,0.224,0.126,0.083,0.062,0.161,0.224,10,2.2,11.65,2990,4530,"a",0.895,"< 250,000","metro"
2848,367,"Metro","Metro <250k","2","Federal/State government-dependent",0.408,0.06,0.26,0.117,0.499,0.249,0.143,0.125125125,0.356356356,0.334334334,0.184184184,13,11,0.348,0.166,0.121,0.091,0.111,0.303,11,9.7,18.82,2070,1249,"a",0.317,"< 250,000","metro"
3584,277,"Metro","Metro > 1 million","1","Manufacturing-dependent",0.484,0.059,0.205,0.057,0.508,0.258,0.103,0.124509804,0.362745098,0.307843137,0.204901961,12,8,0.34,0.194,0.096,0.097,0.177,0.333,12,6.6,14.93,3280,3510,"a",0.313,"> 1,000,000","metro"
5938,350,"Nonmetro","Urban >20,000 metro-adjacent","5","Nonspecialized",0.428,0.066,0.249,0.061,0.515,0.239,0.148,0.171,0.377,0.263,0.189,13,10,0.332,0.175,0.101,0.078,0.102,0.281,12,4.6,22.34,3129,2119,"a",0.079,">20,000","adjacent"
2123,267,"Nonmetro","Urban 2,500-19,999 metro-adjacent","7","Recreation",0.494,0.099,0.244,0.086,0.491,0.24,0.171,0.153380424,0.34308779,0.327951564,0.175580222,10,10,0.352,0.216,0.13,0.08,0.201,0.248,12,5.26,20.03,3800,2039,"b",0.158,"2,500 - <20,000","adjacent"
2571,362,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","9","Nonspecialized",0.433,0.053,0.342,0.139,0.51,0.32,0.1,0.166163142,0.395770393,0.310171198,0.127895267,22,14,0.361,0.284,0.132,0.076,0.231,0.344,10,17,29.46,2219,2630,"b",0.617,"2,500 - <20,000","nonadjacent"
3846,210,"Metro","Metro > 1 million","1","Nonspecialized",0.522,0.041,0.211,0.101,0.506,0.241,0.118,0.075396825,0.209325397,0.317460317,0.39781746,13,6,0.221,0.157,0.061,0.091,0.172,0.16,13,2.7,6.08,1060,1230,"a",0.349,"> 1,000,000","metro"
3548,218,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.463,0.063,0.178,0.074,0.499,0.247,0.103,0.060362173,0.212273642,0.371227364,0.356136821,14,6,0.214,0.178,0.07,0.099,0.155,0.17,13,3.2,8.88,1069,1750,"b",0.26,"250,000 - 1,000,000","metro"
440,293,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","8","Nonspecialized",0.418,0.065,0.237,0.078,0.511,0.237,0.163,0.172139303,0.364179104,0.287562189,0.176119403,13,12,0.296,0.202,0.115,0.068,0.119,0.293,14,5.3,23.87,3119,2339,"a",0.121,"2,500 - <20,000","nonadjacent"
3349,326,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.498,0.048,0.183,0.064,0.519,0.261,0.115,0.10040568,0.161257606,0.27484787,0.463488844,13,11,0.301,0.134,0.118,0.11,0.151,0.271,12,8.7,13.5,1589,829,"a",0.424,"250,000 - 1,000,000","metro"
6052,282,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.512,0.052,0.223,0.057,0.508,0.244,0.111,0.152087475,0.392644135,0.256461233,0.198807157,14,8,0.335,0.201,0.131,0.128,0.219,0.292,11,8.99,23.34,6160,8030,"b",0.416,"250,000 - 1,000,000","metro"
3012,210,"Metro","Metro > 1 million","1","Nonspecialized",0.545,0.039,0.223,0.089,0.499,0.216,0.107,0.136047666,0.180734856,0.235352532,0.447864945,14,7,0.166,0.192,0.06,0.091,0.227,0.142,13,7.3,9.13,1530,849,"a",0.467,"> 1,000,000","metro"
598,238,"Nonmetro","Urban >20,000 metro non-adjacent","8","Recreation",0.466,0.059,0.274,0.115,0.503,0.223,0.156,0.052156469,0.302908726,0.357071214,0.287863591,12,10,0.212,0.174,0.073,0.056,0.182,0.193,12,2.5,20.78,1599,1339,"a",0.048,">20,000","nonadjacent"
3307,254,"Metro","Metro <250k","2","Nonspecialized",0.397,0.104,0.311,0.11,0.518,0.284,0.118,0.286573146,0.254509018,0.327655311,0.131262525,15,7,0.302,0.141,0.096,0.058,0.144,0.184,10,6.2,21.84,2570,2180,"b",0.656,"< 250,000","metro"
1915,326,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Nonspecialized",0.445,0.074,0.279,0.102,0.518,0.229,0.172,0.181544634,0.382146439,0.306920762,0.129388164,12,14,0.358,0.233,0.164,0.098,0.1,0.319,13,14.73,38.77,4279,1929,"b",0.437,"2,500 - <20,000","adjacent"
3155,316,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.487,0.07,0.164,0.05,0.522,0.216,0.141,0.119554205,0.323201621,0.271529889,0.285714286,12,9,0.336,0.184,0.12,0.088,0.132,0.285,12,6.19,15.18,1420,1350,"b",0.315,"250,000 - 1,000,000","metro"
1210,245,"Metro","Metro > 1 million","1","Nonspecialized",0.53,0.064,0.306,0.13,0.521,0.216,0.153,0.114488349,0.278622087,0.296859169,0.310030395,12,8,0.241,0.144,0.085,0.103,0.147,0.237,11,5.08,12.45,1509,1339,"b",0.549,"> 1,000,000","metro"
4279,291,"Metro","Metro 250k - 1 million","2","Manufacturing-dependent",0.476,0.061,0.233,0.092,0.504,0.271,0.107,0.13559322,0.376869392,0.313060818,0.17447657,14,7,0.305,0.177,0.099,0.09,0.144,0.25,13,3.1,17.73,8969,5260,"b",0.193,"250,000 - 1,000,000","metro"
5360,277,"Nonmetro","Urban 2,500-19,999 metro-adjacent","5","Manufacturing-dependent",0.505,0.048,0.185,0.079,0.506,0.259,0.175,0.118181818,0.509090909,0.255555556,0.117171717,13,11,0.35,0.181,0.117,0.06,0.121,0.344,13,1.69,20.48,3790,2110,"b",0.025,"2,500 - <20,000","adjacent"
5266,369,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.429,0.074,0.289,0.089,0.498,0.243,0.125,0.144455748,0.299084435,0.354018311,0.202441506,14,10,0.337,0.265,0.115,0.103,0.155,0.318,12,7.6,19.66,1420,1810,"b",0.317,"250,000 - 1,000,000","metro"
5211,226,"Metro","Metro 250k - 1 million","2","Federal/State government-dependent",0.482,0.038,0.132,0.064,0.495,0.337,0.094,0.041794088,0.21304791,0.396534149,0.348623853,18,5,0.25,0.064,0.075,0.073,0.081,0.152,12,1.2,6.81,1559,2030,"a",0.118,"250,000 - 1,000,000","metro"
6185,295,"Metro","Metro > 1 million","1","Nonspecialized",0.515,0.06,0.169,0.08,0.515,0.238,0.145,0.105691057,0.326219512,0.31402439,0.254065041,12,10,0.292,0.283,0.091,0.091,0.144,0.27,14,2.33,8.39,1860,1819,"b",0.097,"> 1,000,000","metro"
1509,210,"Metro","Metro > 1 million","1","Nonspecialized",0.555,0.054,0.236,0.068,0.508,0.243,0.093,0.102306921,0.199598796,0.272818455,0.425275827,14,6,0.239,0.144,0.08,0.087,0.159,0.199,13,7.3,7.89,1540,1160,"a",0.492,"> 1,000,000","metro"
1226,224,"Nonmetro","Urban 2,500-19,999 metro-adjacent","4","Nonspecialized",0.46,0.063,0.192,0.079,0.513,0.22,0.187,0.124877089,0.343166175,0.27826942,0.253687316,11,11,0.333,0.188,0.117,0.081,0.166,0.273,13,4.5,22.5,4980,1540,"b",0.189,"2,500 - <20,000","adjacent"
3005,299,"Metro","Metro <250k","2","Nonspecialized",0.454,0.047,0.178,0.043,0.499,0.235,0.164,0.104895105,0.402597403,0.316683317,0.175824176,12,10,0.372,0.236,0.143,0.086,0.173,0.303,14,5,9.27,1689,1400,"a",0.152,"< 250,000","metro"
1517,423,"Nonmetro","Urban 2,500-19,999 metro-adjacent","4","Nonspecialized",0.384,0.105,0.269,0.075,0.525,0.266,0.14,0.193386774,0.362725451,0.291583166,0.152304609,16,12,0.362,0.241,0.133,0.121,0.119,0.388,12,8.63,50.97,3470,3139,"b",0.502,"2,500 - <20,000","adjacent"
3280,350,"Metro","Metro > 1 million","1","Nonspecialized",0.516,0.074,0.246,0.068,0.508,0.213,0.113,0.154002026,0.235055724,0.289766971,0.321175279,15,9,0.324,0.268,0.118,0.115,0.232,0.273,12,32.11,13.38,2459,1409,"b",0.549,"> 1,000,000","metro"
4184,392,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","11","Mining-dependent",0.337,0.109,0.217,0.07,0.504,0.213,0.14,0.269269269,0.362362362,0.236236236,0.132132132,12,13,0.375,0.305,0.143,0.117,0.085,0.368,13,6.11,33.03,1759,1320,"b",0.006,"2,500 - <20,000","nonadjacent"
5646,210,"Metro","Metro 250k - 1 million","2","Manufacturing-dependent",0.528,0.046,0.235,0.092,0.529,0.218,0.109,0.127638191,0.174874372,0.246231156,0.451256281,15,6,0.286,0.135,0.095,0.087,0.145,0.195,12,9.5,8.43,1409,819,"a",0.568,"250,000 - 1,000,000","metro"
5996,292,"Metro","Metro <250k","2","Nonspecialized",0.491,0.06,0.176,0.034,0.511,0.236,0.145,0.118,0.342,0.353,0.187,12,10,0.309,0.27,0.088,0.077,0.138,0.268,13,4.4,13.21,2329,2209,"a",0.257,"< 250,000","metro"
3774,263,"Nonmetro","Urban >20,000 metro-adjacent","5","Federal/State government-dependent",0.334,0.082,0.194,0.063,0.498,0.289,0.065,0.080156403,0.294232649,0.417399804,0.208211144,29,5,0.295,0.258,0.086,0.082,0.153,0.265,9,6.28,14.04,989,2069,"b",0.339,">20,000","adjacent"
5585,336,"Nonmetro","Urban >20,000 metro-adjacent","5","Manufacturing-dependent",0.392,0.064,0.293,0.094,0.507,0.254,0.148,0.202620968,0.282258065,0.335685484,0.179435484,14,11,0.364,0.215,0.133,0.106,0.072,0.36,12,9.21,32.99,2429,1890,"b",0.33,">20,000","adjacent"
6010,330,"Metro","Metro <250k","2","Federal/State government-dependent",0.38,0.094,0.239,0.073,0.501,0.288,0.12,0.189587426,0.252455796,0.412573674,0.145383104,16,8,0.274,0.169,0.091,0.058,0.189,0.204,9,5.2,14.97,3329,4859,"a",0.403,"< 250,000","metro"
5403,255,"Metro","Metro > 1 million","1","Nonspecialized",0.494,0.042,0.13,0.044,0.507,0.247,0.135,0.081836327,0.347305389,0.310379242,0.260479042,11,8,0.317,0.183,0.097,0.066,0.161,0.265,13,1.1,11.64,2319,1670,"a",0.098,"> 1,000,000","metro"
2942,363,"Nonmetro","Urban >20,000 metro non-adjacent","8","Nonspecialized",0.378,0.073,0.271,0.079,0.501,0.243,0.161,0.193867458,0.364985163,0.31256182,0.128585559,12,12,0.352,0.256,0.127,0.096,0.075,0.327,12,9.5,18.66,3559,2219,"a",0.419,">20,000","nonadjacent"
257,221,"Metro","Metro > 1 million","1","Nonspecialized",0.524,0.046,0.226,0.116,0.524,0.217,0.139,0.073267327,0.240594059,0.332673267,0.353465347,10,8,0.244,0.184,0.109,0.078,0.206,0.206,11,4.7,8.76,1870,1349,"a",0.34,"> 1,000,000","metro"
2409,268,"Metro","Metro > 1 million","1","Nonspecialized",0.482,0.071,0.147,0.028,0.514,0.247,0.135,0.104846686,0.28090999,0.357072206,0.257171118,13,10,0.294,0.221,0.11,0.086,0.195,0.29,12,15.1,11.54,1580,1649,"b",0.343,"> 1,000,000","metro"
1964,315,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.461,0.049,0.166,0.032,0.519,0.248,0.129,0.129482072,0.337649402,0.304780876,0.228087649,12,9,0.307,0.224,0.115,0.091,0.165,0.28,13,4.6,21.25,3450,3079,"a",0.227,"250,000 - 1,000,000","metro"
738,224,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.388,0.078,0.279,0.082,0.492,0.262,0.146,0.19238477,0.316633267,0.315631263,0.175350701,11,9,0.292,0.22,0.087,0.089,0.121,0.241,10,8.3,20.28,5439,3059,"a",0.665,"250,000 - 1,000,000","metro"
6201,252,"Nonmetro","Urban >20,000 metro-adjacent","5","Nonspecialized",0.391,0.073,0.246,0.065,0.503,0.192,0.281,0.165824065,0.387259858,0.264914055,0.182002022,9,14,0.28,0.176,0.114,0.097,0.051,0.283,14,7.69,19.68,3200,1409,"b",0.039,">20,000","adjacent"
6087,319,"Metro","Metro > 1 million","1","Federal/State government-dependent",0.468,0.07,0.202,0.052,0.513,0.248,0.129,0.158887786,0.284011917,0.343594836,0.213505462,16,11,0.398,0.23,0.132,0.125,0.136,0.282,12,14.61,8.13,1009,1840,"b",0.584,"> 1,000,000","metro"
5295,356,"Metro","Metro <250k","2","Nonspecialized",0.427,0.077,0.266,0.054,0.518,0.255,0.119,0.182634731,0.353293413,0.266467066,0.19760479,15,9,0.373,0.215,0.12,0.104,0.116,0.332,12,7.34,30.76,2080,2660,"b",0.339,"< 250,000","metro"
2452,263,"Nonmetro","Urban >20,000 metro-adjacent","5","Federal/State government-dependent",0.339,0.064,0.197,0.063,0.476,0.309,0.074,0.079681275,0.301792829,0.419322709,0.199203187,28,5,0.334,0.265,0.076,0.086,0.147,0.253,9,5.5,12.77,890,2230,"a",0.369,">20,000","adjacent"
742,291,"Metro","Metro > 1 million","1","Nonspecialized",0.479,0.075,0.237,0.06,0.512,0.237,0.143,0.172172172,0.299299299,0.337337337,0.191191191,11,10,0.271,0.258,0.129,0.107,0.132,0.288,13,5.15,15.66,2069,1520,"b",0.224,"> 1,000,000","metro"
5469,356,"Metro","Metro <250k","2","Nonspecialized",0.418,0.07,0.27,0.06,0.516,0.249,0.131,0.181362725,0.357715431,0.26753507,0.193386774,15,10,0.377,0.203,0.13,0.119,0.124,0.33,11,8.5,25.06,2160,2799,"a",0.342,"< 250,000","metro"
2757,214,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.492,0.06,0.269,0.094,0.496,0.226,0.139,0.206175299,0.1812749,0.295816733,0.316733068,13,7,0.19,0.106,0.07,0.057,0.177,0.153,7,1.35,9.4,1419,1269,"b",0.523,"250,000 - 1,000,000","metro"
5995,283,"Nonmetro","Urban >20,000 metro-adjacent","3","Nonspecialized",0.509,0.04,0.32,0.159,0.501,0.261,0.15,0.240279163,0.331006979,0.288135593,0.140578265,13,10,0.322,0.19,0.109,0.085,0.236,0.291,9,3.3,25.72,2739,2060,"a",0.544,">20,000","adjacent"
1541,303,"Metro","Metro 250k - 1 million","2","Federal/State government-dependent",0.524,0.054,0.216,0.048,0.516,0.221,0.121,0.105314961,0.265748031,0.292322835,0.336614173,14,9,0.324,0.165,0.117,0.12,0.152,0.24,11,16.1,14.85,1450,1139,"a",0.523,"250,000 - 1,000,000","metro"
907,321,"Nonmetro","Urban >20,000 metro-adjacent","5","Nonspecialized",0.396,0.107,0.231,0.062,0.519,0.222,0.176,0.226824458,0.364891519,0.281065089,0.127218935,11,13,0.384,0.207,0.165,0.122,0.053,0.334,12,11.33,24.2,3949,1800,"b",0.61,">20,000","adjacent"
358,280,"Metro","Metro <250k","2","Nonspecialized",0.48,0.057,0.273,0.065,0.5,0.233,0.137,0.257171118,0.387734916,0.196834817,0.158259149,13,9,0.361,0.237,0.105,0.086,0.171,0.339,12,4.6,21.06,2360,2479,"a",0.211,"< 250,000","metro"
3518,204,"Metro","Metro > 1 million","1","Federal/State government-dependent",0.483,0.074,0.197,0.072,0.522,0.235,0.105,0.147557328,0.195413759,0.277168495,0.379860419,12,6,0.23,0.082,0.076,0.037,0.189,0.149,8,0.63,10.2,2079,870,"b",0.486,"> 1,000,000","metro"
933,300,"Metro","Metro <250k","2","Nonspecialized",0.462,0.059,0.167,0.062,0.485,0.235,0.153,0.110671937,0.384387352,0.324110672,0.18083004,13,10,0.366,0.231,0.121,0.088,0.173,0.28,13,4.15,10.58,1880,1509,"b",0.162,"< 250,000","metro"
351,313,"Nonmetro","Urban 2,500-19,999 metro-adjacent","4","Manufacturing-dependent",0.43,0.088,0.236,0.056,0.515,0.225,0.151,0.281620553,0.391304348,0.225296443,0.101778656,11,10,0.32,0.199,0.122,0.119,0.127,0.298,11,5.8,29.33,7720,11509,"a",0.32,"2,500 - <20,000","adjacent"
