"row_id","heart_disease_mortality_per_100k","metro","urban_influence","economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","pure_population","demo__pct_nonwhite","metro_adjacency"
24,213,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.489,0.054,0.26,0.096,0.502,0.229,0.137,0.20221328,0.179074447,0.292756539,0.325955734,13,7,0.195,0.11,0.067,0.053,0.142,7,8.78,1330,1289,"250k_to_1mil",0.545,"metro"
27,310,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Manufacturing",0.456,0.065,0.247,0.081,0.488,0.188,0.18,0.193711968,0.495943205,0.206896552,0.103448276,9,13,0.337,0.348,0.12,0.107,0.364,12,NA,NA,5140,"less_than_2500",0.269,"nonadjacent"
30,337,"Nonmetro","Noncore_adjacent_to_a_large_metro_area","Farming",0.446,0.049,0.318,0.147,0.497,0.233,0.192,0.182358771,0.35877106,0.308225966,0.150644202,11,11,0.312,0.206,0.117,0.078,0.327,10,35.65,3790,7530,"2500_to_20k",0.137,"adjacent"
31,276,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Government",0.459,0.07,0.215,0.054,0.536,0.241,0.128,0.143856144,0.260739261,0.284715285,0.310689311,14,9,0.362,0.185,0.137,0.117,0.287,13,14.94,1680,1119,"250k_to_1mil",0.614,"metro"
33,204,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Government",0.448,0.044,0.377,0.2,0.508,0.211,0.246,0.211519364,0.285998014,0.253227408,0.249255214,13,15,0.294,NA,0.113,0.095,0.289,10,NA,NA,NA,"less_than_2500",0.567,"nonadjacent"
34,228,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_contains_a_town_of_2500__or_more_residents","Recreation",0.527,0.085,0.274,0.153,0.466,0.256,0.093,0.073194857,0.269040554,0.366963403,0.290801187,15,7,0.303,0.234,0.058,0.056,0.236,NA,NA,2439,1379,"less_than_2500",0.222,"nonadjacent"
35,438,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Nonspecialized",0.427,0.083,0.231,0.084,0.517,0.268,0.171,0.26401631,0.391437309,0.224260958,0.120285423,14,14,0.337,0.307,0.121,0.107,0.385,13,23.16,3169,1759,"2500_to_20k",0.165,"nonadjacent"
36,262,"Nonmetro","Micropolitan_adjacent_to_a_small_metro_area","Manufacturing",0.504,0.04,0.172,0.074,0.513,0.248,0.181,0.092353525,0.476663357,0.279046673,0.151936445,12,12,0.323,0.176,0.121,0.068,0.262,13,11.27,3639,2039,"2500_to_20k",0.045,"adjacent"
37,241,"Nonmetro","Micropolitan_adjacent_to_a_small_metro_area","Recreation",0.404,0.08,0.213,0.082,0.479,0.171,0.222,0.097,0.293,0.402,0.208,9,14,0.232,0.194,0.092,0.052,0.205,10,16.46,939,1080,"more_than_20k",0.175,"adjacent"
39,261,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Farming",0.559,0.027,0.153,0.062,0.497,0.228,0.199,0.076076076,0.362362362,0.344344344,0.217217217,11,14,0.311,0.173,0.089,0.056,0.306,12,NA,8360,4150,"less_than_250k",0.045,"metro"
42,287,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Manufacturing",0.522,0.053,0.114,0.044,0.496,0.218,0.199,0.094621514,0.435258964,0.298804781,0.171314741,10,14,0.273,0.199,0.105,0.078,0.232,11,17.77,2609,1620,"2500_to_20k",0.037,"adjacent"
43,269,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.464,0.053,0.145,0.043,0.516,0.228,0.169,0.126252505,0.341683367,0.336673347,0.195390782,11,11,0.38,0.192,0.114,0.104,0.266,12,11.42,1570,1170,"less_than_250k",0.282,"metro"
46,315,"Metro","Large_in_a_metro_area_with_at_least_1_million_residents_or_more","Nonspecialized",0.438,0.06,0.199,0.05,0.494,0.283,0.129,0.178247734,0.444108761,0.255790534,0.121852971,14,9,0.362,0.273,0.117,0.086,0.307,13,26.12,3529,1879,"more_than_1mil",0.04,"metro"
51,324,"Nonmetro","Micropolitan_adjacent_to_a_large_metro_area","Nonspecialized",0.417,0.082,0.219,0.055,0.511,0.247,0.168,0.206793207,0.423576424,0.248751249,0.120879121,14,13,0.309,0.279,0.116,0.085,0.33,14,26.79,3859,2330,"2500_to_20k",0.043,"adjacent"
52,345,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Nonspecialized",0.423,0.064,0.269,0.06,0.518,0.227,0.197,0.172277228,0.42970297,0.271287129,0.126732673,12,15,0.376,0.166,0.118,0.088,0.328,13,38.48,4409,2859,"2500_to_20k",0.032,"adjacent"
55,199,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Nonspecialized",0.457,0.054,0.279,0.126,0.514,0.216,0.215,0.089655172,0.333004926,0.332019704,0.245320197,9,11,0.202,0.194,0.062,0.06,0.194,11,20.24,2159,1440,"2500_to_20k",0.053,"adjacent"
57,313,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.454,0.056,0.219,0.056,0.51,0.267,0.114,0.125373134,0.340298507,0.342288557,0.192039801,14,8,0.302,0.206,0.107,0.082,0.291,12,24.24,3910,5770,"250k_to_1mil",0.112,"metro"
58,243,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Manufacturing",0.601,0.04,0.116,0.053,0.508,0.222,0.207,0.079158317,0.362725451,0.343687375,0.214428858,11,13,0.337,0.181,0.091,0.073,0.287,8,21.68,7269,2450,"less_than_2500",0.026,"adjacent"
61,250,"Metro","Large_in_a_metro_area_with_at_least_1_million_residents_or_more","Mining",0.432,0.043,0.259,0.154,0.499,0.203,0.24,0.104790419,0.294411178,0.349301397,0.251497006,12,14,0.268,0.223,0.112,0.073,0.246,10,21.12,2400,1919,"more_than_1mil",0.131,"metro"
63,378,"Nonmetro","Noncore_adjacent_to_a_small_metro_and_does_not_contain_a_town_of_at_least_2500_residents","Farming",0.331,0.055,0.292,0.104,0.405,0.197,0.124,0.274274274,0.384384384,0.242242242,0.099099099,8,7,0.328,NA,0.121,0.138,0.287,12,NA,3259,3249,"less_than_2500",0.67,"adjacent"
64,300,"Nonmetro","Micropolitan_adjacent_to_a_large_metro_area","Manufacturing",0.411,0.067,0.204,0.057,0.501,0.193,0.183,0.269346734,0.380904523,0.269346734,0.08040201,9,10,0.364,0.306,0.156,0.113,0.323,13,24.31,NA,NA,"less_than_2500",0.329,"adjacent"
65,175,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.547,0.04,0.097,0.064,0.503,0.219,0.188,0.072580645,0.349798387,0.368951613,0.208669355,11,11,0.264,0.13,0.086,0.058,0.239,12,12.44,2080,1560,"less_than_250k",0.022,"metro"
67,255,"Metro","Large_in_a_metro_area_with_at_least_1_million_residents_or_more","Nonspecialized",0.512,0.07,0.138,0.029,0.502,0.283,0.096,0.083503055,0.270875764,0.302443992,0.343177189,11,6,0.322,0.182,0.106,0.086,0.235,13,8.31,2079,1990,"more_than_1mil",0.32,"metro"
68,275,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Farming",0.318,0.057,0.252,0.173,0.487,0.272,0.254,0.168326693,0.395418327,0.253984064,0.182270916,7,11,0.252,NA,0.095,NA,0.228,11,NA,NA,NA,"less_than_2500",0.093,"nonadjacent"
70,185,"Nonmetro","Noncore_adjacent_to_micro_area_and_contains_a_town_of_2500_19999_residents","Recreation",0.441,0.058,0.327,0.125,0.513,0.183,0.244,0.12202381,0.266865079,0.331349206,0.279761905,9,10,0.23,0.219,0.081,0.098,0.222,9,17.85,2910,1569,"2500_to_20k",0.334,"nonadjacent"
71,249,"Nonmetro","Micropolitan_adjacent_to_a_large_metro_area","Recreation",0.397,0.082,0.232,0.157,0.495,0.198,0.255,0.156345178,0.296446701,0.377664975,0.169543147,12,15,0.273,0.25,0.118,0.085,0.256,10,25.83,1759,1709,"more_than_20k",0.356,"adjacent"
73,233,"Nonmetro","Noncore_adjacent_to_a_large_metro_area","Nonspecialized",0.321,0.097,0.214,0.09,0.499,0.177,0.267,0.082259663,0.328047572,0.444995045,0.144697721,7,12,0.315,0.159,0.123,NA,0.226,10,NA,2019,NA,"less_than_2500",0.048,"adjacent"
76,314,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Nonspecialized",0.368,0.107,0.298,0.099,0.498,0.22,0.171,0.241310824,0.314796425,0.337636544,0.106256207,10,10,0.364,0.268,0.157,0.15,0.317,13,16.47,5139,NA,"less_than_2500",0.627,"nonadjacent"
77,307,"Nonmetro","Noncore_adjacent_to_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Mining",0.567,0.043,0.213,0.121,0.515,0.226,0.202,0.114,0.381,0.287,0.218,13,13,0.323,0.203,0.122,0.053,0.342,10,NA,1390,819,"less_than_2500",0.101,"nonadjacent"
78,294,"Nonmetro","Noncore_adjacent_to_a_small_metro_and_does_not_contain_a_town_of_at_least_2500_residents","Government",0.342,0.064,0.242,0.097,0.466,0.195,0.214,0.222664016,0.402584493,0.294234592,0.080516899,9,13,0.355,0.306,0.155,0.08,0.337,12,47.4,3979,5369,"2500_to_20k",0.121,"adjacent"
79,383,"Nonmetro","Noncore_adjacent_to_a_small_metro_and_does_not_contain_a_town_of_at_least_2500_residents","Nonspecialized",0.296,0.151,0.273,0.084,0.498,0.227,0.131,0.241210938,0.359375,0.237304688,0.162109375,14,11,0.444,0.181,0.192,0.177,0.361,11,22.59,NA,3809,"less_than_2500",0.864,"adjacent"
80,310,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Mining",0.351,0.092,0.19,0.084,0.493,0.209,0.168,0.253716551,0.354806739,0.282457879,0.109018831,9,13,0.289,0.319,0.126,0.085,0.297,13,18.65,16109,3140,"less_than_2500",0.019,"nonadjacent"
82,280,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Farming",0.413,0.049,0.318,0.095,0.505,0.271,0.13,0.192502533,0.255319149,0.324214792,0.227963526,16,6,0.274,0.231,0.072,0.083,0.286,9,18.57,3580,1569,"2500_to_20k",0.445,"nonadjacent"
83,360,"Nonmetro","Noncore_adjacent_to_micro_area_and_contains_a_town_of_2500_19999_residents","Manufacturing",0.419,0.059,0.25,0.051,0.512,0.241,0.187,0.167004049,0.431174089,0.261133603,0.140688259,10,14,0.35,0.346,0.151,0.091,0.339,11,32.42,9080,3000,"2500_to_20k",0.339,"nonadjacent"
85,276,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_contains_a_town_of_2500__or_more_residents","Recreation",0.521,0.051,0.149,0.057,0.504,0.2,0.229,0.081716037,0.390194076,0.324821246,0.203268641,8,12,0.301,0.23,0.108,0.078,0.251,11,29.53,3130,979,"2500_to_20k",0.053,"nonadjacent"
86,296,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Government",0.331,0.076,0.25,0.107,0.411,0.197,0.156,0.255744256,0.376623377,0.265734266,0.101898102,11,11,0.373,0.211,0.138,0.098,0.332,12,31.48,8850,7329,"2500_to_20k",0.453,"adjacent"
87,316,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.495,0.064,0.177,0.051,0.523,0.219,0.139,0.112449799,0.320281124,0.28313253,0.284136546,12,9,0.339,0.188,0.11,0.092,0.276,12,14.17,1289,1300,"250k_to_1mil",0.338,"metro"
90,285,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Government",0.335,0.06,0.233,0.102,0.514,0.27,0.073,0.12202381,0.306547619,0.424603175,0.146825397,14,6,0.293,0.162,0.089,0.081,0.258,9,13.6,5919,5460,"250k_to_1mil",0.355,"metro"
94,319,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Government",0.436,0.065,0.213,0.086,0.482,0.214,0.15,0.132734531,0.337325349,0.263473054,0.266467066,11,10,0.329,0.258,0.099,0.075,0.254,10,20.12,2659,999,"more_than_20k",0.091,"nonadjacent"
95,272,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Government",0.506,0.037,0.101,0.044,0.486,0.244,0.145,0.077154309,0.359719439,0.326653307,0.236472946,11,8,0.289,0.284,0.09,0.081,0.273,9,18.88,2479,1640,"250k_to_1mil",0.037,"metro"
96,343,"Nonmetro","Noncore_adjacent_to_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Mining",0.326,0.112,0.187,0.065,0.478,0.183,0.186,0.299599198,0.349699399,0.251503006,0.099198397,8,14,0.289,0.295,0.12,0.1,0.278,13,36.69,5890,2980,"less_than_2500",0.052,"nonadjacent"
97,228,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Manufacturing",0.592,0.027,0.132,0.064,0.511,0.241,0.181,0.074626866,0.331343284,0.354228856,0.239800995,14,9,0.301,0.167,0.083,0.059,0.257,12,NA,3279,3290,"2500_to_20k",0.052,"nonadjacent"
98,284,"Nonmetro","Noncore_adjacent_to_micro_area_and_contains_a_town_of_2500_19999_residents","Mining",0.561,0.066,0.223,0.156,0.486,0.27,0.132,0.191808192,0.36963037,0.360639361,0.077922078,15,5,0.299,0.174,0.073,0.075,0.212,13,36.99,6030,5940,"2500_to_20k",0.301,"nonadjacent"
101,253,"Nonmetro","Micropolitan_adjacent_to_a_small_metro_area","Recreation",0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.093,0.343,0.274,0.29,9,11,0.288,0.182,0.097,0.058,0.212,11,11.3,1400,1259,"more_than_20k",0.02,"adjacent"
102,229,"Nonmetro","Micropolitan_adjacent_to_a_large_metro_area","Nonspecialized",0.506,0.056,0.151,0.041,0.5,0.235,0.169,0.110775428,0.333333333,0.348439074,0.207452165,10,10,0.291,0.163,0.112,0.063,0.254,12,20.33,2909,1699,"more_than_20k",0.112,"adjacent"
103,291,"Nonmetro","Micropolitan_adjacent_to_a_large_metro_area","Nonspecialized",0.381,0.077,0.221,0.089,0.525,0.202,0.247,0.170854271,0.350753769,0.324623116,0.153768844,8,12,0.327,0.209,0.156,0.091,0.257,12,14.06,13600,4520,"less_than_2500",0.269,"adjacent"
105,363,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Mining",0.452,0.055,0.257,0.115,0.496,0.239,0.178,0.12474645,0.427991886,0.283975659,0.163286004,12,11,0.354,0.247,0.145,0.066,0.352,10,41.37,1269,3289,"250k_to_1mil",0.164,"metro"
106,281,"Nonmetro","Micropolitan_adjacent_to_a_small_metro_area","Government",0.396,0.079,0.141,0.065,0.494,0.203,0.148,0.110772358,0.362804878,0.298780488,0.227642276,10,9,0.294,0.26,0.112,0.072,0.254,11,11.5,2660,1829,"more_than_20k",0.09,"adjacent"
108,244,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Farming",0.68,0.02,0.2,0.106,0.493,0.219,0.229,0.064935065,0.324675325,0.412587413,0.197802198,7,19,0.292,0.122,0.096,NA,0.331,13,NA,1019,980,"less_than_2500",0.073,"nonadjacent"
111,223,"Metro","Large_in_a_metro_area_with_at_least_1_million_residents_or_more","Government",0.389,0.058,0.164,0.059,0.451,0.217,0.108,0.117,0.339,0.328,0.216,11,6,0.361,0.251,0.123,0.079,0.257,12,14.05,5319,6150,"more_than_1mil",0.406,"metro"
112,214,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.474,0.054,0.188,0.078,0.505,0.265,0.112,0.079079079,0.241241241,0.326326326,0.353353353,13,6,0.264,0.161,0.097,0.089,0.232,13,11.16,1830,839,"250k_to_1mil",0.25,"metro"
113,375,"Nonmetro","Micropolitan_adjacent_to_a_small_metro_area","Manufacturing",0.451,0.055,0.234,0.049,0.512,0.25,0.145,0.15862069,0.431527094,0.257142857,0.15270936,13,10,0.346,0.177,0.136,0.07,0.343,13,24.63,3590,1869,"more_than_20k",0.043,"adjacent"
114,236,"Nonmetro","Noncore_adjacent_to_a_large_metro_area","Manufacturing",0.567,0.053,0.125,0.045,0.496,0.228,0.166,0.083083083,0.392392392,0.336336336,0.188188188,10,11,0.319,0.19,0.091,0.055,0.2,12,20.99,2200,1040,"2500_to_20k",0.032,"adjacent"
116,232,"Nonmetro","Noncore_adjacent_to_micro_area_and_contains_a_town_of_2500_19999_residents","Mining",0.499,0.061,0.163,0.121,0.472,0.281,0.116,0.143283582,0.370149254,0.371144279,0.115422886,15,5,0.336,0.202,0.098,0.074,0.249,10,23.64,4410,2859,"2500_to_20k",0.539,"nonadjacent"
117,212,"Metro","Large_in_a_metro_area_with_at_least_1_million_residents_or_more","Manufacturing",0.558,0.05,0.077,0.032,0.507,0.226,0.148,0.062753036,0.305668016,0.339068826,0.292510121,11,8,0.272,0.136,0.093,0.057,0.224,12,10.1,2049,1650,"more_than_1mil",0.042,"metro"
118,340,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.498,0.065,0.222,0.059,0.516,0.223,0.141,0.165829146,0.293467337,0.305527638,0.235175879,14,12,0.354,0.263,0.112,0.108,0.246,13,9.9,1840,1379,"250k_to_1mil",0.359,"metro"
119,330,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.408,0.049,0.243,0.043,0.51,0.224,0.196,0.205588822,0.373253493,0.289421158,0.131736527,12,13,0.348,0.327,0.136,0.094,0.319,13,25.82,13360,4480,"less_than_250k",0.134,"metro"
123,279,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.467,0.051,0.248,0.09,0.511,0.223,0.13,0.109768379,0.253776435,0.30715005,0.329305136,14,9,0.28,0.187,0.103,0.096,0.239,13,12.5,1600,1199,"250k_to_1mil",0.476,"metro"
125,229,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_contains_a_town_of_2500__or_more_residents","Recreation",0.509,0.085,0.283,0.155,0.46,0.246,0.09,0.083166333,0.265531062,0.365731463,0.285571142,12,6,0.276,0.242,0.062,0.042,0.239,NA,17.68,2470,1950,"less_than_2500",0.223,"nonadjacent"
127,227,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Recreation",0.521,0.057,0.221,0.091,0.501,0.23,0.163,0.168032787,0.18852459,0.318647541,0.324795082,11,8,0.23,0.089,0.067,0.058,0.138,8,10.82,1349,1160,"less_than_250k",0.435,"metro"
128,306,"Nonmetro","Noncore_adjacent_to_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Farming",0.559,0.039,0.215,0.106,0.514,0.23,0.231,0.085968379,0.373517787,0.348814229,0.191699605,12,16,0.283,0.128,0.091,0.053,0.33,12,37.87,1459,2140,"less_than_2500",0.123,"nonadjacent"
129,263,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Manufacturing",0.527,0.033,0.285,0.102,0.488,0.309,0.102,0.300395257,0.23715415,0.280632411,0.181818182,19,6,0.333,0.171,0.098,0.075,0.303,12,20.49,2320,2040,"more_than_20k",0.571,"nonadjacent"
133,218,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Government",0.468,0.045,0.242,0.128,0.467,0.247,0.075,0.063241107,0.233201581,0.390316206,0.313241107,17,5,0.291,0.198,0.067,0.067,0.198,NA,9.73,890,1429,"less_than_250k",0.229,"metro"
134,199,"Nonmetro","Noncore_adjacent_to_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Farming",0.574,0.059,0.126,0.09,0.503,0.212,0.227,0.114314115,0.363817097,0.344930417,0.17693837,10,12,0.323,NA,0.088,0.061,0.228,13,28.11,2910,8630,"less_than_2500",0.049,"nonadjacent"
135,324,"Nonmetro","Noncore_adjacent_to_micro_area_and_contains_a_town_of_2500_19999_residents","Manufacturing",0.483,0.066,0.188,0.074,0.519,0.2,0.207,0.14796425,0.405163853,0.291956306,0.154915591,11,13,0.343,0.244,0.099,0.079,0.278,14,24.18,4540,2599,"2500_to_20k",0.038,"nonadjacent"
136,257,"Nonmetro","Noncore_adjacent_to_a_small_metro_and_does_not_contain_a_town_of_at_least_2500_residents","Nonspecialized",0.517,0.06,0.163,0.08,0.501,0.225,0.173,0.106962664,0.437941473,0.302724521,0.152371342,10,7,0.306,0.187,0.102,0.086,0.28,14,19.49,2650,4189,"less_than_2500",0.045,"adjacent"
137,330,"Nonmetro","Noncore_adjacent_to_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Manufacturing",0.367,0.099,0.238,0.075,0.504,0.226,0.179,0.254305978,0.367781155,0.252279635,0.125633232,11,13,0.319,0.307,0.136,0.085,0.385,13,25.59,2940,1600,"less_than_2500",0.056,"nonadjacent"
141,283,"Nonmetro","Micropolitan_adjacent_to_a_small_metro_area","Nonspecialized",0.578,0.032,0.123,0.036,0.497,0.235,0.172,0.062252964,0.355731225,0.351778656,0.230237154,10,11,0.321,0.229,0.095,0.056,0.283,11,21.62,2069,2180,"2500_to_20k",0.034,"adjacent"
144,207,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Nonspecialized",0.568,0.044,0.099,0.027,0.499,0.183,0.158,0.083080041,0.318135765,0.245187437,0.353596758,9,8,0.225,0.145,0.081,0.051,0.175,11,11.81,2289,869,"2500_to_20k",0.043,"adjacent"
145,247,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Nonspecialized",0.593,0.037,0.159,0.061,0.508,0.229,0.207,0.061183551,0.450351053,0.320962889,0.167502508,13,13,0.338,0.184,0.108,0.071,0.288,9,21.03,1690,1659,"2500_to_20k",0.018,"adjacent"
148,199,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Nonspecialized",0.445,0.029,0.13,0.102,0.499,0.352,0.112,0.015075377,0.250251256,0.393969849,0.340703518,16,4,0.226,NA,0.078,0.058,0.204,12,NA,3389,1629,"250k_to_1mil",0.03,"metro"
150,337,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Government",0.363,0.057,0.373,0.19,0.423,0.217,0.144,0.241691843,0.357502518,0.297079557,0.103726083,12,10,0.316,NA,0.092,0.084,0.28,9,32.12,4049,6869,"2500_to_20k",0.411,"adjacent"
